# GESP C++ L1 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp1-kp01 | 计算机基础知识 | 计算机基础
#   cpp1-kp02 | 程序与流程图 | 计算机基础
#   cpp1-kp03 | 变量与数据类型 | 基础语法
#   cpp1-kp04 | 常量与标识符命名 | 基础语法
#   cpp1-kp05 | 标准输入输出 | 基础语法
#   cpp1-kp06 | 算术与赋值运算 | 运算与表达式
#   cpp1-kp07 | 关系与逻辑运算 | 运算与表达式
#   cpp1-kp08 | 顺序结构 | 顺序结构
#   cpp1-kp09 | if 分支结构 | 分支结构
#   cpp1-kp10 | switch 分支结构 | 分支结构
#   cpp1-kp11 | for 循环 | 循环结构
#   cpp1-kp12 | while 循环 | 循环结构
#   cpp1-kp13 | 循环控制 | 循环结构
#   cpp1-kp14 | 嵌套循环 | 循环结构
#   cpp1-kp15 | 一维数组入门 | 数组与字符串
#   cpp1-kp16 | string 字符串基础 | 数组与字符串
#   cpp1-kp17 | 进制初步 | 进制与运算
#   cpp1-kp18 | 简单数学应用 | 进制与运算
#   cpp1-kp19 | 综合：顺序与分支 | 综合应用
#   cpp1-kp20 | 综合：循环与数组 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202512-l1	20	21	判断题	下面的C++代码能用于判断输入的正整数是否为对称数。所谓对称数是指从左到右和从右到左读该数，其值 相同，121或414等是对称数，而123不是对称数。() int n, new_number; 2 cout <<"请输入正整数："； 3 cin >>n; 4 5 new_number =0； 6 while (n ！= 0){ A new_number = new_number * 10 +n% 10； 8 n/=10; 9 10 11 if (n = new_number) 12 cout <<"对称数"； 13 else 14 cout <<"非对称数";	对	错			错
lele-gesp-cpp-202512-l1	21	22	判断题	下面的C++代码执行后将输出θ。() int tnt = 0； 2 for (int i=-100;i< 100；i++) 3 tnt += i; 4 cout << tnt;	对	错			错
lele-gesp-cpp-202512-l1	22	23	判断题	某同学执行C++代码时printf("%g\n",(3+3.1415926535));输出6.14159而不是6.1415926535 表明该同学的计算机存在故障需要重新安装C++软件。()	对	错			错
lele-gesp-cpp-202512-l1	23	24	判断题	如果× 是C+代码中的double 型变量，则对 cout<<(x?1227:12.27);编译时将报错，因为 1227和12.12分别是int和double类型，导致识别混乱。()	对	错			错
lele-gesp-cpp-202512-l1	24	25	判断题	在C++代码中，不可以将变量命名为 keyword,因为它是C++语言的关键字。()	对	错			错
lele-835	0	1	单选题	人工智能现在非常火，小杨就想多了解一下，其中就经常听人提到“大模型”。那么请问这里说的“大模型”最贴切是指 ( )。	A：大电脑模型	B：大规模智能	C：智能的单位	D：大语言模型	D
lele-835	1	2	单选题	小杨这学期刚开学就选修了一门编程课，然后就想编写程序来计算1到10001之间的所有偶数的和。他希望程 序采用简单累加整数的方法，同时希望源程序尽可能清晰、简洁，则下面关于实现累加时采用的主要控制结构的哪个说法最不合适（ ）。	A：使用循环结构	B：使用循环和分支的组合	C：仅使用顺序结构	D：不使用分支结构	C
lele-835	2	3	单选题	下面的C++代码用于输入姓名，然后输出姓名，正确的说法是( )。	A：XingMing 是汉语拼音，不能作为变量名称	B：可以将 XingMing 改为 Xing Ming	C：可以将 XingMing 改为 xingming	D：可以将 XingMing 改为 Xing-Ming	C
lele-835	3	4	单选题	下列C++代码中a和b都是整型变量，执行后，其结果是( )	A：2 3	B：23	C：20	D：以上都不准确	C
lele-835	4	5	单选题	C++表达式 3 * 4 % 5 / 6 的值是（）	A：10	B：5	C：2	D：0	D
lele-835	5	6	单选题	下面的C++代码中变量N和M都是整型，则执行时如果先输入10并输入一个制表符后输入20并回车，其输出的数值是( )。	A：{30}	B：1020	C：{N+M}	D：不输出，继续等待输入	A
lele-835	6	7	单选题	当前是9月，编写C++代码求N个月后的月份。横线处应填入的代码是（ ）。	A：N % 12	B：9 + N % 12	C：(9 + N) / 12	D：(9 + N) % 12	D
lele-835	7	8	单选题	下面C++代码执行后的输出是（ ）	A：5050	B：4950	C：50	D：49	C
lele-835	8	9	单选题	下面的C++代码执行后输出是（ ）	A：900	B：100	C：0	D：-100	C
lele-835	9	10	单选题	下面C++代码执行后输出是（ ）。	A：1#2#	B：1#2#END	C：1#2	D：1#2#3#4#END	A
lele-835	10	11	单选题	下面的C++代码用于求N的镜面数（N的个位到最高位的各位数字依次反过来出现在数字中，但高位0将被忽略，不输出），如输入1234，则将输出 4321 ，又如输入120，则将输出 21 ，错误的选项是（ ）。	A：N != 0	B：not (N == 0)	C：N = 0	D：N > 0	C
lele-835	11	12	单选题	下面C++代码用于交换两个正整数a和b的值，不能实现交换的代码是（ ）。	A：	B：	C：	D：	D
lele-835	12	13	单选题	下面C++代码用于获得正整数N的第M位数，约定个位数为第1位，如N等于1234，M等于2，则输出3。假设M的值是大于等于1且小于等于N的位数。横线处应填入的代码是( )。	A：N % div / 10	B：N / div / 10	C：N % div % 10	D：N / div % 10	D
lele-835	13	14	单选题	下面C++代码执行后输出是（ ）。	A：1#2#4#5#6#	B：1#2#4#5#6	C：1#2#3#4#5#6#	D：1#2#3#4#5#6	A
lele-835	14	15	单选题	下面C++代码用于记录多个输入数中的最大数和最小数（输入 -999 则输入结束），相关说法错误的是（ ）。	A：程序运行时如果第一个数输入 -999 ，则输出将是 -999 -999	B：程序输入过程中，如果输入的第一个数不是 -999 ，则如果待输入的数据中没有 -999 ，则程序能求出已输入整数中的最大数和最小数	C：如果用于输入考试成绩，即成绩中不可能有 -999 ，则程序能求出已输入成绩中的最高成绩和最低成绩	D：可以将 cin >> now_num; 移动到 while (now_num != -999) { 下面，结果不变	D
lele-835	15	1	判断题	在集成开发环境里调试程序时，要注意不能修改源程序，因为如果修改，就要终止调试、关闭该文件并重新打开，才能再次开始调试。（ ）	A：对	B：错			B
lele-835	16	2	判断题	执行C++表达式 10 % 0.5 将报错，因为 0.5 所在位置只能是整数。( )	A：对	B：错			A
lele-835	17	3	判断题	下面C++代码执行后将输出 9 。 ( )	A：对	B：错			B
lele-835	18	4	判断题	下面C++代码执行后将输出 55 。（ ）	A：对	B：错			B
lele-835	19	5	判断题	将下面C++代码中的 L1 行的 i = 0 修改为 i = 1 ， 其输出与当前代码输出相同。（ ）	A：对	B：错			A
lele-835	20	6	判断题	将下面C++代码中的 i < 10 修改为 i <= 10 ，其执行后输出相同。（ ）	A：对	B：错			B
lele-835	21	7	判断题	下面的C++代码执行后将输出 45 。（ ）	A：对	B：错			B
lele-835	22	8	判断题	执行C++代码 cout << (12 + 12.12) 将报错，因为 12 是 int 类型，而 12.12 是 floa t类型，不同类型不能直接运算。（ ）	A：对	B：错			B
lele-835	23	9	判断题	下面C++代码执行时将导致无限循环（也称死循环）。（ ）	A：对	B：错			B
lele-835	24	10	判断题	下列C++代码用于求斐波那契数列，即第1个数为0，第2个数为1，从第三个数开始，依次是其前两个数之和。如果输入的值为大于1的正整数，该代码能实现所求。（ ）	A：对	B：错			A
lele-gesp-cpp-202509-l1	0	1	单选题	人工智能现在非常火，小杨就想多了解一下，其中就经常听人提到“大模型”。那么请问这里说的“大模型”最贴切是指()。	A：大电脑模型	B：大规模智能	C：智能的单位	D：大语言模型	D
lele-gesp-cpp-202509-l1	1	2	单选题	小杨这学期刚开学就选修了一门编程课，然后就想编写程序来计算1到10001之间的所有偶数的和。他希望程序采用简单累加整数的方法，同时希望源程序尽可能清晰、简洁，则下面关于实现累加时采用的主要控制结构的哪个说法最不合适()。	A：使用循环结构	B：使用循环和分支的组合	C：仅使用顺序结构	D：不使用分支结构	C
lele-gesp-cpp-202509-l1	2	3	单选题	下面的C++代码用于输入姓名，然后输出姓名，正确的说法是()。 string XingMing; cout << "请输入您的姓名："; cin >> XingMing; cout << XingMing;	A：XingMing 是汉语拼音，不能作为变量名称	B：可以将 XingMing 改为 Xing Ming	C：可以将 XingMing 改为 xingming	D：可以将 XingMing 改为 Xing-Ming	C
lele-gesp-cpp-202509-l1	3	4	单选题	下列C++代码中a和b都是整型变量，执行后，其结果是()。 a=13; b=5; cout << a/b << a%b << a*b;	A：23	B：23	C：20	D：以上都不准确	C
lele-gesp-cpp-202509-l1	4	5	单选题	C++表达式3*4%5/6的值是()。	A：10	B：5	C：2	D：0	D
lele-gesp-cpp-202509-l1	5	6	单选题	下面的C++代码中变量N和M都是整型，则执行时如果先输入10并输入一个制表符后输入20并回车，其输出的数值是()。 scanf("%d",&N); scanf("%d",&M); printf("{%d}",N+M);	A：{30}	B：1020	C：{N+M}	D：不输出，继续等待输入	A
lele-gesp-cpp-202509-l1	6	7	单选题	当前是9月，编写C++代码求N个月后的月份。横线处应填入的代码是()。 int N, M; cin >> N; M=__ if (M == 0) printf("%d个月后12月",N); else printf("%d个月后是%d月",N,M);	A：N%12	B：9+N%12	C：(9+N)/12	D：(9+N)%12	D
lele-gesp-cpp-202509-l1	7	8	单选题	下面C++代码执行后的输出是()。 int n=0; for (int i=0;i<100;i++) n+=i%2; cout << n;	A：5050	B：4950	C：50	D：49	C
lele-gesp-cpp-202509-l1	8	9	单选题	下面的C++代码执行后输出是()。 int N=0,i; for (i=-100;i<100;i++) N+=i%10; cout << N;	A：900	B：100	C：0	D：-100	C
lele-gesp-cpp-202509-l1	9	10	单选题	下面C++代码执行后输出是()。 int i; for(i=1;i<5;i++){ if(i%3==0) break; printf("%d#",i); } if(i>5) printf("END\n");	A：1#2#	B：1#2#END	C：1#2	D：1#2#3#4#END	A
lele-gesp-cpp-202509-l1	10	11	单选题	下面的C++代码用于求N的镜面数(N的个位到最高位的各位数字依次反过来出现在数字中，但高位0将被忽略，不输出)，如输入1234，则将输出4321，又如输入120，则将输出21，错误的选项是()。 cout<<"请输入个位数不为0的正整数："; cin >>N; rst=0;//保存逆序结果 while(_____){ rst = rst * 10 + N % 10; N=N/10; } cout << rst << endl;	A：N !=0	B：not(N==0)	C：N=0	D：N>0	C
lele-gesp-cpp-202509-l1	11	12	单选题	下面C++代码用于交换两个正整数a和b的值，不能实现交换的代码是()。	A：cout <<"输入第一个正整数："; cin >> a; cout <<"输入第二个正整数："; cin >> b; temp = a; a= b; b= temp; cout << "a="<...	B：cout << "输入第一个正整数："; cin >> a; cout <<"输入第二个正整数："; cin >> b; b=a-b; a=a-b; b=a+b; cout << "a="<< a...	C：cout <<"输入第一个正整数："; cin >>a; cout <<"输入第二个正整数："; cin >> b; a=a+b; b=a-b; a=a-b; cout << "a="<< a <...	D：cout <<"输入第一个正整数："; cin >> a; cout <<"输入第二个正整数："; cin >> b; a,b= b, a; cout << "a="<< a <<"b="<< b...	D
lele-gesp-cpp-202509-l1	12	13	单选题	下面C++代码用于获得正整数N的第M位数，约定个位数为第1位，如N等于1234，M等于2，则输出3。假设M的值是大于等于1且小于等于N的位数。横线处应填入的代码是()。 int N, M, div=1; cout <<"请输入一个正整数："; cin >> N; cout <<"请输入从右到左取第几位数："; cin >> M; for (int i=0; i<(M-1); i++) div *= 10; cout <<(_______);	A：N % div / 10	B：N / div / 10	C：N % div % 10	D：N / div % 10	D
lele-gesp-cpp-202509-l1	13	14	单选题	下面C++代码执行后输出是()。 num = 0; while (num <= 5){ num += 1; if (num == 3) continue; printf("%d#",num); }	A：1#2#4#5#6#	B：1#2#4#5#6	C：1#2#3#4#5#6#	D：1#2#3#4#5#6	A
