# GESP C++ L2 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp2-kp01 | 变量与数据类型 | 基础语法
#   cpp2-kp02 | 分支与循环 | 基础语法
#   cpp2-kp03 | 基础输入输出 | 基础语法
#   cpp2-kp04 | 函数定义与调用 | 函数
#   cpp2-kp05 | 函数参数传递 | 函数
#   cpp2-kp06 | 函数返回值 | 函数
#   cpp2-kp07 | 一维数组 | 数组与字符串
#   cpp2-kp08 | 多维数组 | 数组与字符串
#   cpp2-kp09 | 字符数组与字符串 | 数组与字符串
#   cpp2-kp10 | string 字符串处理 | 数组与字符串
#   cpp2-kp11 | 顺序查找 | 数组与字符串
#   cpp2-kp12 | 枚举算法 | 枚举模拟
#   cpp2-kp13 | 模拟算法 | 枚举模拟
#   cpp2-kp14 | 冒泡排序 | 排序入门
#   cpp2-kp15 | 选择排序 | 排序入门
#   cpp2-kp16 | 插入排序 | 排序入门
#   cpp2-kp17 | 简单递推 | 递推
#   cpp2-kp18 | 数组综合应用 | 综合应用
#   cpp2-kp19 | 字符串综合应用 | 综合应用
#   cpp2-kp20 | 函数与算法综合 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-784	15	1	判断题	人们现在参加很多闭卷考试时通常都不允许带智能手机、平板电脑等，此外很多种智能手表同样因为具有嵌入操作系统及通信等功能，所以也不允许随身携带。（ ）	A：对	B：错			A
lele-784	16	2	判断题	在C++代码中，假设N为正整数，则 N / 10 舍弃个位数。如果 N 小于10，则其值为0，大于10则是舍弃个位数的数。( )	A：对	B：错			A
lele-784	17	3	判断题	下列C++代码执行后，其输出为 10 20 ，即 a == b 和 b == a 对 a 和 b 的值没有任何影响。( )int a = 10, b = 20;a == b;b == a;cout << (a, b);	A：对	B：错			B
lele-784	18	4	判断题	a 和 b 分别是C++的整型变量，如果表达式 max(a, b) == min(a, b) 的值为真，则说明 a 和 b 相等。 （ ）	A：对	B：错			A
lele-784	19	5	判断题	下面C++代码编译时将报错，因为字符变量 a 被赋值了浮点值。 ( )char a = '1';a = 45.6;cout << a;	A：对	B：错			B
lele-784	20	6	判断题	下面C++代码执行时如输入59.99，将输出 及格 两个汉字。（ ）int score;cout << "请输入学生成绩: ";cin >> score;if (score < 60)cout << "不及格";elsecout << "及格";	A：对	B：错			B
lele-784	21	7	判断题	在下面的C++代码中，因为 continue 将被执行，因此不会有输出。（ ）int i;for (i = 1; i < 10; i++)if (i % 2 == 0)continue;if(i == 10)cout << "END";	A：对	B：错			B
lele-784	22	8	判断题	下面的C++代码执行后将输出15。（int Sum = 0;for (int i = 0; i < 5; i++)Sum += i;cout << Sum;	A：对	B：错			B
lele-784	23	9	判断题	将下面C++代码中的 (int i = 5; i > 1; i--) 调整为 (int i = 1; i < 5; i++) 输出结果相同，因为5到1与1到5的求和相同。（ ）int tnt;tnt = 0;for (int i = 5; i > 1; i--)tnt += i;cout << tnt;cout << endl;	A：对	B：错			B
lele-784	24	10	判断题	为实现如下效果，即N行N列字符。当输入是奇数时，中间列为 * ，其他-；当输入是偶数时，则中间两列是 * ，其他是-。字符阵列后的代码能实现其效果。（ ）/*5--*----*----*----*----*--*/int N;cin >> N;int i,j;for (i = 0; i < N; i++){for (j = 0; j < N; j++)if ((j == N / 2) || (j == (N-1) / 2))cout << "*";elsecout << "-";cout << endl;}	A：对	B：错			A
lele-679	0	1	单选题	2025年春节有两件轰动全球的事件，一个是DeepSeek横空出世，另一个是贺岁片《哪吒2》票房惊人，入了全球票房榜。下面关于DeepSeek与《哪吒2》的描述成立的是( )。	A：《哪吒2》是一款新型操作系统	B：DeepSeek是深海钻探软件	C：《哪吒2》可以生成新的软件	D：DeepSeek可以根据《哪吒2》的场景生成剧情脚本	D
lele-679	1	2	单选题	对整型变量N，如果它能够同时被3和5整除，则输出 N是含有至少两个质因数 。如果用流程图来描述处理过程，则输出语句应该在哪种图形框中（ ）	A：圆形框	B：椭圆形框	C：平行四边形框	D：菱形框	C
lele-679	2	3	单选题	下面C++代码执行，其输出是( )	A：3 4	B：3 3	C：4 4	D：4 3	A
lele-679	3	4	单选题	求三色彩球的颜色。有数量无限的红(Red)绿(Green)蓝(Blue)三种彩球排成一行，每组先为5个红色球，随后3个绿色，最后为2个蓝色。每个球都有编号，从左到右依次为1,2,3……。输入整数代表编号，求该编号球的颜色。下面是C++代码是实现，正确说法是( )。	A：将 else if ((remainder == 9) || (remainder == 0)) 修改为 else 效果相同	B：将 ((1 <= remainder) && (remainder<= 5)) 修改为(remainder <= 5) 效果相同	C：else if ((6 <= remainder) && (remainder <= 8)) 写法错误，应修改为 else if (6 <= remainder <= 8)	D：根据题意 remainder = N % 10 应修改为 remainder = N / 10	A
lele-679	4	5	单选题	下面C++代码执行后其输出是( )	A：18	B：17	C：16	D：14	D
lele-679	5	6	单选题	下面C++代码执行后输出是( )	A：10	B：8	C：0	D：因为循环执行时会执行break语句而终止循环，所以i的值不确定	A
lele-679	6	7	单选题	下面C++代码执行后输出是（ ）。	A：0#0#0#0#0#0#	B：0#0#0#0#0#0#0#1#	C：0#0#0#0#1#	D：0#0#0#0#0#0#1#	D
lele-679	7	8	单选题	下面C++代码执行后的输出是（ ）。	A：1-2-1-3-2-1-4-3-2-1-	B：1-2-1-3-2-1-4-3-2-1	C：0-0-1-0-1-2-0-1-2-3-	D：0-0-1-0-1-2-0-1-2-3	A
lele-679	8	9	单选题	下面C++代码执行后，将输出能被2整除且除以7余数为2的数。下列选项不能实现的是（ ）。	A：((i % 2 == 0) && (i % 7 == 2))	B：((!(i % 2)) && (i % 7 == 2))	C：((!(i % 2)) && (!(i % 7)))	D：((i % 2 != 1) && (i % 7 == 2))	C
lele-679	9	10	单选题	下面C++代码用于求1到N之间正整数中含有3的数的个数，比如 123 和 32 都是符合条件的数。则前后两处横线应填入代码分别是（ ）。	A：	B：	C：	D：	B
lele-679	10	11	单选题	在数学中N!表示N的阶乘，即1到N的乘积，如 3!=1*2*3 ，且 0! = 1 。下面的两段C++代码用于求1到N的阶乘之和，如N为3，则结果是9（ 1!+2!+3! 的值）。选项中的说法正确的是（ ）。	A：虽然实现1的代码短小，但效率并不高	B：实现2的代码效率更高，且更易于理解	C：实现1因为应用了前项计算结果，计算量更小，因此效率高	D：两种实现，效率几乎一致	C
lele-679	11	12	单选题	哥德巴赫猜想是指大于2的偶数都可以分解为两个质数之和，下面的代码用于验证4-1000之内的偶数能否分解为两个质数之和。下面C++代码中假设isPrime()是已经定义好用于判断正整数N是否为质数, 返回bool值。对该段代码，错误的说法是（ ）	A：将代码 isPrime(j) && isPrime(i-j) 修改为 isPrime(j) == true && isPrime(i-j) == true 效果相同	B：代码执行后，输出的一对质数，一定是小的数在前	C：即便将外层循环中i的上界1000修改为很大的整数，也不能说从数学上证明了哥德巴赫猜想	D：根据题意，break语句应该移到if语句块之外	D
lele-679	12	13	单选题	已知C++代码和执行后的期望输出如下，相关说法正确的是（ ）。	A：倒数第二行的 printf("\n") 有错，应该修改为 cout << endl; ，printf( )函数不能输出换行	B：last += 1 修改为 last = last + 1 执行效果相同	C：代码中L1标记行中的 j < i + 1 应修改为 j < i	D：外层for循环前的 last = 1 修改为 last = 0 执行效果相同	B
lele-679	13	14	单选题	在C++中，（ ）最适合填入横线处连续5次正确生成1到10之间的随机整数？	A：rand( ) % 11	B：rand( ) % 10	C：rand( ) % 10 + 1	D：rand() % 9 + 1	C
lele-679	14	15	单选题	在C++中，如果 a 和 b 均为 float 类型的变量，那么二者如果相差足够小（比如0.000001），就可以视作相等。比如 2.2345676 和 2.2345677 就可以视作相等。下列哪个表达式能用来正确判断“a等于b” ( )。	A：((b-a) < 0.000001 )	B：((b-a) <= 0.000001 )	C：(abs(b-a) <= 0.000001 )	D：(sqrt(b-a) <= 0.000001 )	C
lele-679	15	1	判断题	C++、Python都是高级编程语言，它们的每条语句最终都要通过机器指令来完成。（ ）	A：对	B：错			A
lele-679	16	2	判断题	在C++代码中，假设N为正整数，则 N - N / 10 * 10 与 N % 10 都将获得N的个位数。( )	A：对	B：错			A
lele-679	17	3	判断题	C++语句 cout << ((10 <= N <= 12)? "true":"false") 中，假设整型变量N为12，则其输出为 true 。原因是执行 10 <= N 后其值为 true ， true 与 12 相比仍然是 true 。( )	A：对	B：错			A
lele-679	18	4	判断题	C++表达式 (sqrt(N) * sqrt(N)) == N 中的N如果为正整数，则表达式的值为true，相当于开平方后平方是本身。（ ）	A：对	B：错			B
lele-679	19	5	判断题	下面C++执行后将输出 3*2=6 。 ( )	A：对	B：错			A
lele-679	20	6	判断题	下面C++代码执行后将输出10。（ ）	A：对	B：错			A
lele-679	21	7	判断题	下面C++代码执行后将输出1。（ ）	A：对	B：错			A
