# GESP C++ L5 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp5-kp01 | 链表(单/双向) | 数据结构
#   cpp5-kp02 | 树与二叉树基础 | 数据结构
#   cpp5-kp03 | 二叉树遍历 | 数据结构
#   cpp5-kp04 | 堆/优先队列 | 数据结构
#   cpp5-kp05 | 图基本概念 | 图论
#   cpp5-kp06 | DFS 深度优先搜索 | 图论
#   cpp5-kp07 | BFS 广度优先搜索 | 图论
#   cpp5-kp08 | 动态规划(线性) | 算法
#   cpp5-kp09 | 动态规划(背包) | 算法
#   cpp5-kp10 | 贪心算法 | 算法
#   cpp5-kp11 | 高精度运算 | 算法
#   cpp5-kp12 | 分治 | 算法
#   cpp5-kp13 | 散列表(hash/map) | 数据结构
#   cpp5-kp14 | set/multiset | 数据结构
#   cpp5-kp15 | 递归进阶 | 算法
#   cpp5-kp16 | 表达式求值(栈应用) | 数据结构
#   cpp5-kp17 | 并查集 | 数据结构
#   cpp5-kp18 | 拓扑排序 | 图论
#   cpp5-kp19 | 最短路(Dijkstra/Floyd) | 图论
#   cpp5-kp20 | 字符串进阶(KMP) | 算法
#   cpp5-kp21 | 复杂度分析 | 综合应用
#   cpp5-kp22 | 综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202606-l5	0	1	单选题	假设 head!=nullptr,下面是实现单向循环链表在头节点后插入新节点的代码，横线处应填入()。 struct Node { int val; Node* next; }; void insertAfterHead(Node* head, int x) { Node* newNode = new Node; newNode->val = x; ____//在此处填入代码 }	A：newNode->next = head; head->next = newNode;	B：newNode->next = head->next; head->next = newNode;	C：head->next = newNode; newNode->next = head->next;	D：newNode->next = head->next; head = newNode;	B
lele-gesp-cpp-202606-l5	1	2	单选题	下面代码遍历并输出一个循环单链表，其中head指向链表的第一个节点，横线处应填入的是()。 struct Node { int val; Node* next; }; void printList(Node* head) { if (head == nullptr) return; Node* p = head; //在此处填入代码 cout << endl; }	A：while (p != nullptr) { cout << p->val << " "; p = p->next; }	B：while (p->next != nullptr) { cout << p->val << " "; p = p->next; }	C：do { cout << p->val << " "; p = p->next; } while (p != head);	D：for (; p; p = p->next) { cout << p->val << " "; }	C
lele-gesp-cpp-202606-l5	2	3	单选题	双链表结点定义如下，若要删除双链表中的中间结点（非首尾节点）p,下面写法正确的是()。 struct Node { int val; Node* prev; Node* next; };	A：p->prev->next = p->next; p->next->prev = p->prev; delete p;	B：p->next->prev = p->next; p->prev->next = p->prev; delete p;	C：p->prev = p->next; p->next = p->prev; delete p;	D：p->next->next = p->prev; p->prev->prev = p->next; delete p;	A
lele-gesp-cpp-202606-l5	3	4	单选题	使用如下欧几里得算法求gcd(105,45)时，函数gcd(a,b)的递归调用序列正确的是()。 int gcd(int a, int b) { return b == 0 ? a : gcd(b, a % b); }	A：gcd(105, 45) -> gcd(45, 60) -> gcd(60, 15) -> gcd(15, 0)	B：gcd(105, 45) -> gcd(45, 15) -> gcd(15, 0)	C：gcd(105, 45) -> gcd(60, 45) -> gcd(15, 45)	D：gcd(105, 45) -> gcd(15, 45) -> gcd(15, 0)	B
lele-gesp-cpp-202606-l5	4	5	单选题	下面代码实现线性筛（欧拉筛），以筛选出n以内的所有素数。横线处的代码应为()。 vector<int> sieve(int n) { vector<bool> is_prime(n + 1, true); vector<int> primes; if (n >= 0) is_prime[0] = false; if (n >= 1) is_prime[1] = false; for (int i = 2; i <= n; ++i) { if (is_prime[i]) { primes.push_back(i); } for (int j = 0; j < primes.size() && i * primes[j] <= n; ++j) { is_prime[i * primes[j]] = false; if ( ) break; //在此处填入代码 } } return primes; }	A：i % primes[j] == 0	B：primes[j] % i == 0	C：i % primes[j] != 0	D：i == primes[j]	A
lele-gesp-cpp-202606-l5	5	6	单选题	下面关于埃氏筛法的说法正确的是()。	A：每个合数只会被筛掉一次	B：从每个素数出发，把它的倍数标记为合数	C：只能判断一个数是不是偶数	D：不能求出素数表	B
lele-gesp-cpp-202606-l5	6	7	单选题	下面代码实现了计算x^n的快速幂算法，该算法体现的编程思想是()。 long long power(long long x, int n) { if (n == 0) return 1; long long res = power(x, n / 2); if (n % 2 == 0) return res * res; else return res * res * x; }	A：枚举	B：贪心	C：分治	D：模拟	C
lele-gesp-cpp-202606-l5	7	8	单选题	下面代码用于统计n中因子2出现了多少次。若n=40,输出是()。 int n = 40; int cnt = 0; while (n % 2 == 0) { cnt++; n /= 2; } cout << cnt;	A：1	B：2	C：3	D：4	C
lele-gesp-cpp-202606-l5	8	9	单选题	在一个有序数组中查找第一个大于或等于x的元素位置，横线处应填写()。 int lowerBound(vector<int>& a, int x) { int l = 0, r = a.size(); while (l < r) { int mid = l + (r - l) / 2; if (a[mid] >= x) ________________；// 在此处填入代码 else l = mid + 1; } return l; }	A：r = mid + 1	B：r = mid - 1	C：r = mid	D：l = mid	C
lele-gesp-cpp-202606-l5	9	10	单选题	有若干根木头，长度存于wood。每切一刀可以把一段木头分成两段。函数 check(wood,K,x)返回：用不超过K刀，能否使所有木段长度都不超过x。下面代码使用二分答案查找最小可行的x，横线处应填()。 int binary_cut(vector<int>& wood, int K) { int l = 1; int r = 0; for (int len : wood) r = max(r, len); while (l < r) { int mid = l + (r - l) / 2; if (check(wood, K, mid)) ; //在此处填入代码 else l = mid + 1; } return l; }	A：r = mid + 1	B：r = mid	C：l = mid	D：r = mid - 1	B
lele-gesp-cpp-202606-l5	10	11	单选题	下面代码段实现了快速排序的划分操作（以首元素为基准），横线处代码应填入()。 int partition(vector<int>& arr, int low, int high) { int pivot = arr[low]; int i = low, j = high; while (i < j) { while (i < j && arr[j] >= pivot) j--; while (i < j && arr[i] <= pivot) i++; if (i < j) swap(arr[i], arr[j]); } ; //在此处填入代码 return i; }	A：swap(arr[low], arr[high])	B：swap(arr[low], arr[i])	C：swap(arr[i], arr[high])	D：arr[i] = pivot	B
lele-gesp-cpp-202606-l5	11	12	单选题	下面哪句话最符合归并排序的思想？()	A：每次选择最小元素放到前面	B：将数组分成两半分别排序，再合并两个有序部分	C：相邻元素两两交换	D：从左到右把元素插入有序区	B
lele-gesp-cpp-202606-l5	12	13	单选题	在对长度为n(n>1)的数组进行归并排序的过程中，mergeArray函数（合并两个有序子数组的操作）被调用的次数是()。 const int MAXN = 100005; int a[MAXN]; int tempArr[MAXN]; void mergeArray(int left, int mid, int right) { int i = left; int j = mid + 1; int k = left; while (i <= mid && j <= right) { if (a[i] <= a[j]) { tempArr[k++] = a[i++]; } else { tempArr[k++] = a[j++]; } } while (i <= mid) { tempArr[k++] = a[i++]; } while (j <= right) { tempArr[k++] = a[j++]; } for (int p = left; p <= right; p++) { a[p] = tempArr[p]; } } void mergeSort(int left, int right) { if (left >= right) { return; } int mid = left + (right - left) / 2; mergeSort(left, mid...	A：n - 1	B：log n	C：n log n	D：2n	A
lele-gesp-cpp-202606-l5	13	14	单选题	小杨在学校义卖会上负责打包“零食盲盒”。每个盲盒重量不同，快递盒最多承重limit克，每个快递盒最多装两个盲盒。为了尽量少用快递盒，他采用如下策略： (1)每次把最轻的盲盒和最重的盲盒尝试放在一起； (2)如果两者重量之和不超过limit,就一起装； (3)否则，只能让最重的盲盒单独装一盒。 下面代码用于计算最少需要多少个快递盒，则横线处应填入的是()。 int minBoxes(vector<int>& w, int limit) { sort(w.begin(), w.end()); int l = 0, r = w.size() - 1; int boxes = 0; while (l <= r) { if (w[l] + w[r] <= limit) { //在此处填入代码 } else { r--; } boxes++; } return boxes; }	A：l++;	B：r--;	C：l++; r--;	D：boxes--;	C
lele-gesp-cpp-202606-l5	14	15	单选题	高精度减法中，假设两个高精度数按低位在前存储，且已经保证被减数不小于减数。下面处理借位逻辑代码中横线处应填入()。 if (a[i] < b[i]) { a[i + 1]--; ; t = a[i] - b[i]; }	A：a[i] += 10	B：a[i] -= 10	C：b[i] += 10	D：a[i] = a[i + 1] + 10	A
lele-gesp-cpp-202606-l5	15	16	判断题	数组的存储空间在物理上通常是连续的，而链表的结点可以存储在不连续的内存空间中。	对	错			对
lele-gesp-cpp-202606-l5	16	17	判断题	带哨兵头尾节点的双向循环链表，在表头插入节点p,以下四步操作无论什么顺序执行结果都正确。 ① p->next = head->next; ② p->prev = head; ③ head->next->prev = p; ④ head->next = p;	对	错			错
lele-gesp-cpp-202606-l5	17	18	判断题	对任意正整数 a、b,以下两种写法的gcd函数返回值完全相同。 int gcd1(int a, int b) { return b ? gcd1(b, a % b) : a; } int gcd2(int a, int b) { while (b) { int t = b; b = a % b; a = t; } return a; }	对	错			对
lele-gesp-cpp-202606-l5	18	19	判断题	在归并排序的合并操作中，如下代码片段可以正确地将两个已排序的子数组L和R合并回原数组 arr 中。 void merge(int arr[], int left, int mid, int right) { int n1 = mid - left + 1; int n2 = right - mid; vector<int> L(n1), R(n2); for (int i = 0; i < n1; i++) L[i] = arr[left + i]; for (int j = 0; j < n2; j++) R[j] = arr[mid + 1 + j]; int i = 0, j = 0, k = left; while (i < n1 && j < n2) { if (L[i] <= R[j]) arr[k++] = L[i++]; else arr[k++] = R[j++]; } while (i < n1) arr[k++] = L[i++]; while (j < n2) arr[k++] = R[j++]; }	对	错			对
lele-gesp-cpp-202606-l5	19	20	判断题	分治法通常将一个规模较大的问题拆分为若干个规模较小、结构相似的子问题，分别求解后再合并子问题的结果。	对	错			对
lele-gesp-cpp-202606-l5	20	21	判断题	贪心算法只要每一步选择当前最优解，就一定能得到全局最优解。	对	错			错
lele-gesp-cpp-202606-l5	21	22	判断题	二分查找不仅可以应用于有序数组，也可以在不增加时间复杂度的情况下应用于有序的单链表，因为链表也支持O(1)时间内的随机访问。	对	错			错
lele-gesp-cpp-202606-l5	22	23	判断题	以下函数f1的时间复杂度比函数f2的更高。 void f1(int n) { for (int i = 1; i < n; i *= 2); } void f2(int n) { if (n <= 1) return; f2(n - 1); f2(n - 1); }	对	错			错
lele-gesp-cpp-202606-l5	23	24	判断题	唯一分解定理表明，任何一个大于1的自然数都可以唯一地分解为若干个质数的乘积，如果不考虑质因数的顺序，这种分解方式是唯一的。	对	错			对
lele-gesp-cpp-202606-l5	24	25	判断题	归并排序和快速排序在平均情况下的时间复杂度均为O(nlogn)。但在稳定性方面，归并排序通常是不稳定的，而快速排序是稳定的。	对	错			错
