# GESP C++ L4 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp4-kp01 | 文件操作(fstream 读写) | 基础语法与STL
#   cpp4-kp02 | string 字符串处理 | 基础语法与STL
#   cpp4-kp03 | vector 动态数组 | 基础语法与STL
#   cpp4-kp04 | 结构体 struct | 基础语法与STL
#   cpp4-kp05 | 函数与递归 | 基础语法与STL
#   cpp4-kp06 | 指针基础 | 基础语法与STL
#   cpp4-kp07 | 二维数组 | 数据结构入门
#   cpp4-kp08 | 枚举算法 | 算法基础
#   cpp4-kp09 | 模拟算法 | 算法基础
#   cpp4-kp10 | 递推 | 算法基础
#   cpp4-kp11 | 冒泡排序 | 算法基础
#   cpp4-kp12 | 选择排序 | 算法基础
#   cpp4-kp13 | 插入排序 | 算法基础
#   cpp4-kp14 | 顺序查找 | 算法基础
#   cpp4-kp15 | 二分查找 | 算法基础
#   cpp4-kp16 | 栈 stack | 数据结构入门
#   cpp4-kp17 | 队列 queue | 数据结构入门
#   cpp4-kp18 | 进制与位运算进阶 | 基础语法与STL
#   cpp4-kp19 | 排序综合应用 | 综合应用
#   cpp4-kp20 | 分治入门 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202606-l4	0	1	单选题	小杨正在编写一个“数字交换器”程序，他希望通过函数交换两个变量的值。请问运行以下代码后，屏幕上输出的是()。 ```cpp void exchange(int *a, int &b) { int t = *a; *a = b; b = t; } int main() { int x = 100, y = 200; exchange(&x, y); cout << x << " " << y; return 0; } ```	A：100 200	B：200 100	C：200 200	D：编译错误	B
lele-gesp-cpp-202606-l4	1	2	单选题	下面程序想通过函数计算三门课总分，横线处应填入的是()。 ```cpp int sumScore(int a, int b, int c) { return a + b + c; } int main() { int chinese = 88, math = 95, english = 90; int total = ______; cout << total; return 0; } ```	A：sumScore	B：sumScore(chinese, math, english)	C：sumScore(int chinese, int math, int english)	D：sumScore(a, b, c)	B
lele-gesp-cpp-202606-l4	2	3	单选题	下面程序输出结果是()。 ```cpp int addOne(int x) { return x + 1; } int main() { int a = 6; cout << addOne(a) + addOne(3); return 0; } ```	A：9	B：10	C：11	D：12	C
lele-gesp-cpp-202606-l4	3	4	单选题	关于下面程序，说法正确的是()。 ```cpp void show() { int stars = 5; } int main() { cout << stars; return 0; } ```	A：程序输出5	B：程序可以通过编译，但输出随机值	C：程序不能通过编译，因为 stars 只在 show 函数中有效	D：程序不能通过编译，因为cout 不能输出变量	C
lele-gesp-cpp-202606-l4	4	5	单选题	小杨在调试一个“等级提升”系统，代码逻辑如下，执行后*p的值是()。 ```cpp int lv = 5, next_lv = 6; int *p = &lv; *p = *p + 1; p = &next_lv; ```	A：5	B：6	C：lv的地址	D：next_lv 的地址	B
lele-gesp-cpp-202606-l4	5	6	单选题	小杨正在开发一款名为“星际网格”的游戏，他用二维数组int map[5][4];来表示地图。已知int 占4字节，如果 map 的内存地址是0x2000,则表达式 &map+1的地址值是()。	A：0x204c	B：0x205c	C：0x2050	D：0x2058	C
lele-gesp-cpp-202606-l4	6	7	单选题	执行完下面代码后，变量 val的值是()。 ```cpp int data[] = {10,20,30,40,50}; int *ptr = data + 2; int val = *(ptr - 1) + *(ptr + 1); ```	A：50	B：60	C：70	D：80	B
lele-gesp-cpp-202606-l4	7	8	单选题	某班3个小组、每组4名同学的分数存入下面的二维数组score,则 score[1][2]的值是()。 ```cpp int score[3][4] = { {80,81,82,83}, {90,91,92,93}, {70,71,72,73} }; ```	A：81	B：90	C：92	D：72	C
lele-gesp-cpp-202606-l4	8	9	单选题	小杨定义了一个结构体Hero来表示游戏角色，下面哪种初始化方式会由于语法错误导致编译失败？()。 ```cpp struct Hero { string name; int hp; }; ```	A：Hero h = {"Arthur",100};	B：Hero h; h.name = "Arthur"; h.hp=100;	C：Hero h = new Hero{"Arthur", 100};	D：Hero *p = new Hero{"Arthur", 100};	C
lele-gesp-cpp-202606-l4	9	10	单选题	下面程序输出结果是()。 ```cpp struct Book { string title; int pages; }; int main() { Book books[2] = {{"Math", 120}, {"Science", 150}}; cout << books[1].title; return 0; } ```	A：Math	B：Science	C：120	D：150	B
