# GESP C++ L8 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp8-kp01 | 主席树(可持久化线段树) | 高级数据结构
#   cpp8-kp02 | 分块 | 高级数据结构
#   cpp8-kp03 | 莫队算法 | 高级数据结构
#   cpp8-kp04 | 最大流(Dinic/Edmonds-Karp) | 图论与网络流
#   cpp8-kp05 | 最小费用最大流 | 图论与网络流
#   cpp8-kp06 | 二分图匹配(匈牙利/KM) | 图论与网络流
#   cpp8-kp07 | 图的连通性与割点桥(Tarjan) | 图论与网络流
#   cpp8-kp08 | 强连通分量与缩点(Tarjan) | 图论与网络流
#   cpp8-kp09 | 2-SAT | 图论与网络流
#   cpp8-kp10 | 单调队列优化 DP | 动态规划
#   cpp8-kp11 | 斜率优化 DP | 动态规划
#   cpp8-kp12 | 数位 DP | 动态规划
#   cpp8-kp13 | 树形 DP | 动态规划
#   cpp8-kp14 | 状态压缩 DP | 动态规划
#   cpp8-kp15 | 逆元与同余(扩欧/费马) | 数学与数论
#   cpp8-kp16 | 中国剩余定理(CRT) | 数学与数论
#   cpp8-kp17 | 欧拉函数与欧拉定理 | 数学与数论
#   cpp8-kp18 | 容斥原理与组合计数 | 数学与数论
#   cpp8-kp19 | Lucas 定理与组合数取模 | 数学与数论
#   cpp8-kp20 | 向量叉积与基本几何 | 计算几何
#   cpp8-kp21 | 凸包(Graham/Andrew) | 计算几何
#   cpp8-kp22 | 后缀数组/后缀自动机 | 字符串与高级算法
#   cpp8-kp23 | AC 自动机 | 字符串与高级算法
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-gesp-cpp-202606-l8	0	1	单选题	从7本不同的算法书和5本不同的数学书中选出4本，要求两类书都至少选1本，共有()种不同选法。	A：420	B：455	C：465	D：495	B
lele-gesp-cpp-202606-l8	1	2	单选题	6个人排成一排照相，其中甲、乙两人不能相邻，共有()种不同排法。	A：240	B：480	C：600	D：720	B
lele-gesp-cpp-202606-l8	2	3	单选题	展开式(x^2-1)^6中，常数项的系数为()。	A：6	B：12	C：15	D：20	C
lele-gesp-cpp-202606-l8	3	4	单选题	下面代码用于预处理组合数，横线处应填入的是()。 ```cpp for (int i = 0; i <= n; i++){ c[i][0] = c[i][i] = 1; for (int j = 1; j < i; j++) c[i][j] = ______; } ```	A：c[i - 1][j - 1] + c[i - 1][j]	B：c[i][j - 1] + c[i - 1][j - 1]	C：c[i - 1][j] + c[i][j + 1]	D：c[i][j - 1] * c[i - 1][j]	A
lele-gesp-cpp-202606-l8	4	5	单选题	下列程序输出的值为()。 ```cpp #include <iostream> using namespace std; long long qpow(long long a, long long b, long long mod) { long long ans = 1 % mod; while(b){ if(b & 1) ans = ans * a % mod; a = a * a % mod; b >>= 1; } return ans; } int main() { cout << qpow(3, 20, 17) << endl; return 0; } ```	A：1	B：4	C：13	D：16	C
lele-gesp-cpp-202606-l8	5	6	单选题	归并排序每次把长度为n的序列分成两个规模约为n/2的子序列，递归排序后再用线性时间合并。该算法的时间复杂度通常为()。	A：O(n)	B：O(n^2)	C：O(log n)	D：O(n log n)	D
lele-gesp-cpp-202606-l8	6	7	单选题	在平面直角坐标系中，三角形三个顶点为A(1,1)、B(5,2)、C(3,6),该三角形面积为()。	A：9	B：10	C：12	D：18	A
lele-gesp-cpp-202606-l8	7	8	单选题	某程序需要判断点P(x,y)是否在以原点为圆心、半径为5的圆内或圆上。下列判断条件正确的是()。	A：x*x + y*y <= 25	B：abs(x) + abs(y) <= 5	C：x*x - y*y <= 25	D：x + y <= 5	A
lele-gesp-cpp-202606-l8	8	9	单选题	某无向带权图有边(1,2,4)、(1,3,2)、(2,3,1)、(2,4,5)、(3,4,8)、(3,5,10)、(4,5,2)。该图最小生成树的总权值为()。	A：7	B：8	C：9	D：10	D
lele-gesp-cpp-202606-l8	9	10	单选题	有向非负权图边为1→2(3)、2→4(4)、1→3(10)、3→4(1)、2→3(2)。使用Dijkstra算法从1号顶点出发到4号顶点的最短距离为()。	A：6	B：7	C：8	D：11	A
