# GESP C++ L3 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp3-kp01 | 一维数组进阶 | 数组与字符串
#   cpp3-kp02 | 二维数组/矩阵 | 数组与字符串
#   cpp3-kp03 | 字符数组与字符串基础 | 数组与字符串
#   cpp3-kp04 | string 字符串进阶 | 数组与字符串
#   cpp3-kp05 | 函数定义与调用 | 函数与递归
#   cpp3-kp06 | 函数递归 | 函数与递归
#   cpp3-kp07 | 变量作用域与生命周期 | 基础语法
#   cpp3-kp08 | 结构体 struct | 结构体入门
#   cpp3-kp09 | 指针基础 | 指针基础
#   cpp3-kp10 | 指针与数组 | 指针基础
#   cpp3-kp11 | 冒泡排序 | 排序查找
#   cpp3-kp12 | 选择排序 | 排序查找
#   cpp3-kp13 | 插入排序 | 排序查找
#   cpp3-kp14 | 排序思想与快排入门 | 排序查找
#   cpp3-kp15 | 顺序查找 | 排序查找
#   cpp3-kp16 | 二分查找 | 排序查找
#   cpp3-kp17 | 进制转换 | 进制与位运算
#   cpp3-kp18 | 位运算初步 | 进制与位运算
#   cpp3-kp19 | 枚举算法 | 枚举模拟
#   cpp3-kp20 | 模拟算法 | 枚举模拟
#   cpp3-kp21 | 综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-582	10	11	单选题	小杨在做数学题，题目要求找出从1到35中能被7整除的数字，即[7, 14, 21, 28, 35]，则横线处应填入哪个代码？（ ）	A：arr[count++] = i;	B：arr[i] = count++;	C：arr[i] = count;	D：arr[count] = count++;	A
lele-582	11	12	单选题	已知字符 '0' 的ASCII编码的十进制表示为48，则执行下面C++代码后，输出是( )。	A：17	B：158	C：209	D：316	C
lele-582	12	13	单选题	某小学男子篮球队招募新成员，要求加入球队的成员身高在135厘米以上（不含135厘米）。本次报名的人员有10人，他们的身高分别是125、127、136、134、137、138、126、135、140、145。完善以下代码，求出本次球队能够招募到新成员的人数？（ ）	A：count = arr[i]>135? 1: 0;	B：count += arr[i]>135? 1: 0;	C：count++;	D：以上都不对	B
lele-582	13	14	单选题	下面可以正确输出 They're planning a party for their friend's birthday. 的C++语句是？（ ）	A：cout << 'They\'re planning a party for their friend'\s birthday." << endl;	B：cout << "They\'re planning a party for their friend's birthday.'<< endl;	C：cout << 'They're planning a party for their friend's birthday.'<< endl;	D：cout << "They\'re planning a party for their friend\'s birthday." << endl;	D
lele-582	14	15	单选题	如果执行下面C++代码后，输出的结果是“gesp ccf org cn ”，则横线上应填入哪个代码？（ ）	A：str = str.substr(found + delimiter.length(), str.length() - 1);	B：str = str.substr(found, str.length() );	C：str = str.substr(found, str.length() -1);	D：以上都不对	A
lele-582	15	1	判断题	GESP测试是对认证者的编程能力进行等级认证，同一级别的能力基本上与编程语言无关。	A：对	B：错			A
lele-582	16	2	判断题	整数-6的16位补码可用十六进制表示为FFFA。	A：对	B：错			A
lele-582	17	3	判断题	补码的优点是可以将减法运算转化为加法运算，从而简化计算机的硬件设计。	A：对	B：错			A
lele-582	18	4	判断题	字符常量'\0'常用来表示字符串结束，和字符常量'0'相同。	A：对	B：错			B
lele-582	19	5	判断题	数组的所有元素在内存中可以不连续存放。	A：对	B：错			B
