# GESP C++ L1 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp1-kp01 | 计算机基础知识 | 计算机基础
#   cpp1-kp02 | 程序与流程图 | 计算机基础
#   cpp1-kp03 | 变量与数据类型 | 基础语法
#   cpp1-kp04 | 常量与标识符命名 | 基础语法
#   cpp1-kp05 | 标准输入输出 | 基础语法
#   cpp1-kp06 | 算术与赋值运算 | 运算与表达式
#   cpp1-kp07 | 关系与逻辑运算 | 运算与表达式
#   cpp1-kp08 | 顺序结构 | 顺序结构
#   cpp1-kp09 | if 分支结构 | 分支结构
#   cpp1-kp10 | switch 分支结构 | 分支结构
#   cpp1-kp11 | for 循环 | 循环结构
#   cpp1-kp12 | while 循环 | 循环结构
#   cpp1-kp13 | 循环控制 | 循环结构
#   cpp1-kp14 | 嵌套循环 | 循环结构
#   cpp1-kp15 | 一维数组入门 | 数组与字符串
#   cpp1-kp16 | string 字符串基础 | 数组与字符串
#   cpp1-kp17 | 进制初步 | 进制与运算
#   cpp1-kp18 | 简单数学应用 | 进制与运算
#   cpp1-kp19 | 综合：顺序与分支 | 综合应用
#   cpp1-kp20 | 综合：循环与数组 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-378	5	6	单选题	对 int 类型的变量 a 、 b 、 c ，下列语句不符合C++语法是（ ）。	A：c += 5;	B：b = c % 2.5;	C：a = (b = 3, c = 4, b + c);	D：a -= a = (b = 6) / (c = 2);	B
lele-378	6	7	单选题	下面C++代码执行后的输出是（ ）。	A：都是偶数	B：都是奇数	C：不都是偶数或奇数	D：以上说法都不正确	A
lele-378	7	8	单选题	下面C++代码执行后的输出是（ ）。	A：都是偶数	B：都是奇数	C：不都是偶数或奇数	D：以上说法都不正确	C
lele-378	8	9	单选题	下面C++代码执行后的输出是（ ）。	A：0	B：1	C：2	D：3	A
lele-378	9	10	单选题	下面C++代码段执行后的输出是（ ）。	A：1	B：4	C：5	D：10	C
lele-378	10	11	单选题	下面C++代码执行后的输出是（ ）。	A：2	B：4	C：9	D：10	B
lele-378	11	12	单选题	下面C++代码执行后的输出是（ ）。	A：3	B：4	C：6	D：7	B
lele-378	12	13	单选题	下面C++代码用于求正整数的所有因数，即输出所有能整除一个正整数的数。如，输入10，则输出为1、2、5、10；输入12，则输出为1、2、3、4、6、12；输入17，则输出为1、17。在横线处应填入代码是（ ）。	A：int i = 1; i < n; i + 1	B：int i = 1; i < n + 1; i + 1	C：int i = 1; i < n; i++	D：int i = 1; i < n + 1; i++	D
lele-378	13	14	单选题	在下列代码的横线处填写（ ），可以使得输出是正整数 1234 各位数字的平方和。	A：n / 10	B：(n / 10) * (n / 10)	C：n % 10	D：(n % 10) * (n % 10)	D
lele-378	14	15	单选题	执行以下C++语言程序后，输出结果是（ ）。	A：1	B：0	C：120	D：无法确定	A
lele-378	15	1	判断题	早期计算机内存不够大，可以将字库固化在一个包含只读存储器的扩展卡中插入计算机主板帮助处理汉字。	A：正确	B：错误			A
lele-378	16	2	判断题	神威·太湖之光超级计算机是中国自主研制的超级计算机，在全球超级计算机TOP500排行榜中多次荣膺榜首。	A：正确	B：错误			A
lele-378	17	3	判断题	C++表达式 int(3.14) 的值为 3 。	A：正确	B：错误			A
lele-378	18	4	判断题	C++语句 cout << (2, 3, "23") 的输出为 2, 3, 23 。	A：正确	B：错误			B
lele-378	19	5	判断题	C++的循环语句 for (int i = 0; i < 10; i += 2) 表示 i 从 0 开始到 10 结束但不包含 10 ，间隔为2 。	A：正确	B：错误			A
lele-378	20	6	判断题	C++表达式 ('1' + '1') 的值为 '2' 。	A：正确	B：错误			B
lele-378	21	7	判断题	在C++语言中， do-while 循环不可能导致死循环，但 while 有可能。	A：正确	B：错误			B
lele-378	22	8	判断题	在下面的C++代码中，由于循环中的 continue 是无条件被执行，因此将导致死循环。	A：正确	B：错误			B
lele-378	23	9	判断题	在C++代码中，不可以将变量命名为 cout ，因为 cout 是C++的关键字。	A：正确	B：错误			B
lele-378	24	10	判断题	C++是一种高级程序设计语言。	A：正确	B：错误			A
