# GESP C++ L7 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp7-kp01 | 并查集(Union-Find) | 高级数据结构
#   cpp7-kp02 | 树状数组(Fenwick Tree) | 高级数据结构
#   cpp7-kp03 | 线段树(Segment Tree) | 高级数据结构
#   cpp7-kp04 | 字典树(Trie) | 高级数据结构
#   cpp7-kp05 | 二叉搜索树与平衡树入门 | 高级数据结构
#   cpp7-kp06 | 最短路径·Dijkstra | 图论进阶
#   cpp7-kp07 | 最短路径·Floyd | 图论进阶
#   cpp7-kp08 | 最短路径·SPFA/Bellman-Ford | 图论进阶
#   cpp7-kp09 | 最小生成树(Prim/Kruskal) | 图论进阶
#   cpp7-kp10 | 拓扑排序 | 图论进阶
#   cpp7-kp11 | 强连通分量(Tarjan) | 图论进阶
#   cpp7-kp12 | 区间动态规划 | 动态规划进阶
#   cpp7-kp13 | 树形动态规划 | 动态规划进阶
#   cpp7-kp14 | 状态压缩动态规划 | 动态规划进阶
#   cpp7-kp15 | 素数判定与筛法 | 数学与数论
#   cpp7-kp16 | 最大公约数与最小公倍数 | 数学与数论
#   cpp7-kp17 | 模运算与同余基础 | 数学与数论
#   cpp7-kp18 | 快速幂与幂取模 | 数学与数论
#   cpp7-kp19 | 排列与组合基础 | 组合数学初步
#   cpp7-kp20 | 组合数计算与递推 | 组合数学初步
#   cpp7-kp21 | 二分答案与最值最优化 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-500	10	11	单选题	下面 schedule 函数的时间复杂度为( )。#include <algorithm> using namespace std; struct activity { int id, start, end; }; bool compare(activity a, activity b) { return a.end < b.end; } int schedule(int n, activity * p) { sort(p, p + n, compare); int cnt = 0, end = 0; for (int i = 0; i < n; i++) { if (p[i].start >= end) { end = p[i].end; cnt++; } } return cnt; }	A：O(n)	B：O(log(n))	C：O(nlog(n))	D：O(n2)	C
lele-500	11	12	单选题	下面 search 函数的平均时间复杂度为( )。int search(int n, int * p, int target) { int low = 0, high = n; while (low <= high) { int middle = (low + high) / 2; if (target == p[middle]) { return middle; } else if (target > p[middle]) { low = middle + 1; } else { high = middle - 1; } } return -1; }	A：O(n)	B：O(log(n))	C：O(1)	D：可能无法返回	B
lele-500	12	13	单选题	下面 count_triple 函数的时间复杂度为( )。nt count_triple(int n) { int cnt = 0; for (int a = 1; a <= n; a++) for (int b = a; a + b <= n; b++) for (int c = b; a + b + c <= n; c++) if (a * a + b * b == c * c) cnt++; return cnt; }	A：O(N)	B：O(N2)	C：O(N3)	D：O(N4)	C
lele-500	13	14	单选题	下面程序的输出为（ ）。#include <iostream> using namespace std; int down(int n) { if (n <= 1) return n; return down(n - 1) + down(n - 2) + down(n - 3); } int main() { cout << down(6) << endl; return 0; }	A：6	B：13	C：20	D：无法正常结束。	A
lele-500	14	15	单选题	下面的程序使用邻接矩阵表达的带权无向图，则从顶点0到顶点3的最短距离为（ ）int weight[4][4] = { {0, 2, 5, 8}, {2, 0, 1, 7}, {5, 1, 0, 4}, {8, 7, 4, 0}};	A：6	B：7	C：8	D：9	B
lele-500	15	1	判断题	祖冲之是南北朝时期杰出的数学家、天文学家，其主要贡献在数学、天文历法和机械制造三方面。他首次将“圆周率”精算到小数第七位，即在3.1415926和3.1415927之间。( )	A：正确	B：错误			A
lele-500	16	2	判断题	C++语言中，表达式 2 ^ 3 的结果类型为 int 、值为 8 。( )	A：正确	B：错误			A
lele-500	17	3	判断题	一棵有 个节点的完全二叉树，则树的深度为[log2(N)]+1。( )	A：正确	B：错误			A
lele-500	18	4	判断题	能用动态规划解决的问题，一般也可以用贪心法解决，但动态规划的效率更高。( )	A：正确	B：错误			B
lele-500	19	5	判断题	使用 math.h 或 cmath 头文件中的正弦函数，表达式 sin(30) 的结果类型为 double 、值约为 0.5 。( )	A：正确	B：错误			B
