# GESP C++ L6 考点清单（只能从下列 id 中选择，禁止编造）
#   cpp6-kp01 | 图的存储(邻接矩阵/邻接表) | 图论
#   cpp6-kp02 | 深度优先搜索DFS | 图论
#   cpp6-kp03 | 广度优先搜索BFS | 图论
#   cpp6-kp04 | 最短路径入门(Floyd/Dijkstra) | 图论
#   cpp6-kp05 | 并查集(入门) | 图论
#   cpp6-kp06 | 拓扑排序(入门) | 图论
#   cpp6-kp07 | 堆与优先队列(priority_queue) | 树与数据结构进阶
#   cpp6-kp08 | 哈夫曼树(Huffman) | 树与数据结构进阶
#   cpp6-kp09 | 二叉搜索树(BST) | 树与数据结构进阶
#   cpp6-kp10 | 动态规划基础(状态/转移/记忆化) | 动态规划
#   cpp6-kp11 | 线性动态规划 | 动态规划
#   cpp6-kp12 | 背包问题(0/1背包) | 动态规划
#   cpp6-kp13 | KMP字符串匹配入门 | 字符串算法
#   cpp6-kp14 | 字符串哈希 | 字符串算法
#   cpp6-kp15 | STL set/multiset | STL进阶
#   cpp6-kp16 | STL map/multimap | STL进阶
#   cpp6-kp17 | 贪心算法 | 贪心算法
#   cpp6-kp18 | 素数筛与最大公约数(欧几里得) | 数学与数论
#   cpp6-kp19 | 树与图的连通性综合 | 综合应用
#   cpp6-kp20 | 算法综合应用 | 综合应用
#
# 列：paperId	idx	qNo	type	stem	optA	optB	optC	optD	answer
lele-683	15	1	判断题	哈夫曼树在构造过程中，每次合并权值最小的两个节点，最终生成的树带权路径长度最小	A：对	B：错			A
lele-683	16	2	判断题	格雷编码的相邻两个编码之间必须有多位不同，以避免数据传输错误	A：对	B：错			B
lele-683	17	3	判断题	在树的深度优先搜索（DFS）中，使用队列作为辅助数据结构以实现“先进后出”的访问顺序	A：对	B：错			B
lele-683	18	4	判断题	以下代码实现的是二叉树的中序遍历：	A：对	B：错			A
lele-683	19	5	判断题	C++ 支持构造函数重载，但默认无参数的构造函数只能有一个。	A：对	B：错			A
lele-683	20	6	判断题	二叉排序树（BST）中，若某节点的左子树为空，则该节点一定是树中的最小值节点。	A：对	B：错			B
lele-683	21	7	判断题	在动态规划解决一维硬币找零问题时，若硬币面额为 [1, 3, 4] ，目标金额为 6 ，则最少需要 2 枚硬币（3+3）。	A：对	B：错			A
lele-683	22	8	判断题	面向对象编程中，封装是指将数据和行为绑定在一起，并对外隐藏实现细节。	A：对	B：错			A
lele-683	23	9	判断题	以下代码创建的树是一棵完全二叉树：	A：对	B：错			A
lele-683	24	10	判断题	栈和队列均可以用双向链表实现，插入和删除操作的时间复杂度为 O(1) 。	A：对	B：错			A
lele-603	0	1	单选题	面向对象编程(OOP)是一种特殊的程序设计方法。下面( )不是重要的OOP特性。	A：抽象	B：封装	C：继承	D：模块化	D
lele-603	1	2	单选题	以下关于C++中类的说法，哪一项是正确的？	A：类中定义的所有成员变量和成员函数默认是 public 访问权限。	B：类的构造函数必须显式声明返回类型为 void 。	C：在C++中，类的数据一般设置为私有，其公有成员函数提供访问私有数据的唯一途径。	D：同一个类的实例有各自的成员数据和成员函数。	C
lele-603	2	3	单选题	以下C++代码段中存在语法错误或逻辑错误，（ ）是正确的。	A：NULL 在C++中无法用于指针初始化，应使用 nullptr 。	B：obj 的定义应该是 MyClass obj; 而不是指针类型。	C：obj->display() 语句存在空指针访问错误， obj 应该初始化为一个有效的对象。	D：obj->display() 语句会调用 display() 函数，但它没有输出任何内容。	C
lele-603	3	4	单选题	阅读以下代码，下面哪一项是正确的？	A：栈 s 的输出顺序是 1 2 3 4 5 ，队列 q 的输出顺序是 5 4 3 2 1 。	B：栈 s 的输出顺序是 5 4 3 2 1 ，队列 q 的输出顺序是 1 2 3 4 5 。	C：栈 s 的输出顺序是 1 2 3 4 5 ，队列 q 的输出顺序是 1 2 3 4 5 。	D：栈 s 的输出顺序是 1 2 3 4 5 ，队列 q 的输出顺序是 1 2 3 4 5 ，程序不会正常执行。	B
lele-603	4	5	单选题	N 个节点的双向循环链，在其中查找某个节点的平均时间复杂度是( )。	A：	B：	C：	D：	B
lele-603	5	6	单选题	以下关于树的说法，（ ）是正确的。	A：在一棵二叉树中，叶子结点的度一定是2。	B：满二叉树中每一层的结点数等于 层数	C：在一棵树中，所有结点的度之和等于所有叶子结点的度之和。	D：一棵二叉树的先序遍历结果和中序遍历结果一定相同。	B
lele-603	6	7	单选题	已知字符集 {A, B, C, D} 的出现频率如下表所示：根据哈夫曼编码法，下面（ ）是正确的哈夫曼树	A：	B：	C：	D：	A
lele-603	7	8	单选题	上一题中各字符的哈夫曼编码是（ ）。	A：A: 0, B: 10, C: 110, D: 111	B：A: 0, B: 10, C: 11, D: 10	C：A: 0, B: 101, C: 100, D: 11	D：A: 11, B: 10, C: 01, D: 00	C
lele-603	8	9	单选题	( )是 3位格雷编码。	A：000 001 011 010 110 111 101 100	B：000 001 010 011 100 101 110 111	C：000 001 100 101 011 010 111 110	D：000 010 001 011 100 110 101 111	A
lele-603	9	10	单选题	根据下面二叉树和给定的代码，给定以下二叉搜索树，调用函数 search(root,7) 时，输出的结果是（ ）。	A：5 3 7	B：5 7	C：2 3 4 5 6 7	D：8 7	B
lele-603	10	11	单选题	阅读以下二叉树的深度优先搜索算法，横线上应填写（ ）。	A：TreeNode* node = s.top();	B：TreeNode* node = s.top(); s.pop();	C：TreeNode* node = s.front();	D：TreeNode* node = s.front(); s.pop();	B
